,fighter_name,id,type,matches
101022,Leomana Martinez,130553,a,[]
101040,Thomas Hoeper,130571,f,"[(130571, 209025, 'win', 'Jul / 23 / 2016', '/events/SFL-50-SFL-America-Team-Challenge-Seattle-Warriors-vs-LA-Dragons-53699'), (130571, 84727, 'win', 'Jan / 30 / 2016', '/events/Rogue-Fights-Fight-Night-33-50399'), (130571, 147761, 'win', 'Dec / 12 / 2015', '/events/SFL-45-SFL-America-7-48365'), (130571, 126285, 'loss', 'Sep / 26 / 2015', '/events/SFL-44-SFL-America-6-48363'), (130571, 213349, 'win', 'May / 09 / 2015', '/events/Combat-Games-MMA-Battle-at-the-Bay-11-46075'), (130571, 81657, 'win', 'Dec / 13 / 2014', '/events/SFL-36-SFL-America-2-42349'), (130571, 87323, 'loss', 'Nov / 08 / 2014', '/events/Combat-Games-MMA-Battle-at-the-Bay-9-41655')]"
101234,Marcos Bonilla,130765,f,"[(130765, 139133, 'win', 'Aug / 11 / 2016', '/events/Combate-Americas-Combate-Ocho-53647'), (130765, 72409, 'win', 'Apr / 25 / 2016', '/events/Combate-Americas-Road-to-the-Championship-4-51763'), (130765, 197159, 'win', 'Jul / 10 / 2015', '/events/Lights-Out-Bash-Entertainment-Fight-Night-at-Sportsmens-Lodge-3-46783'), (130765, 194637, 'loss', 'Apr / 10 / 2015', '/events/Bellator-136-Brooks-vs-Jansen-43911'), (130765, 85026, 'win', 'Feb / 20 / 2015', '/events/Lights-Out-Bash-Entertainment-Fight-Night-at-Sportsmens-Lodge-43893'), (130765, 78399, 'loss', 'Aug / 10 / 2014', '/events/LOP-Chaos-at-the-Casino-5-39289')]"
101282,Pedro Paulo Rocha,130813,f,"[(130813, 97579, 'loss', 'Jul / 31 / 2016', '/events/Shooto-Brazil-65-53829'), (130813, 144179, 'loss', 'May / 21 / 2016', '/events/GMP-Gladiator-MMA-Pro-3-52583'), (130813, 130373, 'loss', 'Jan / 23 / 2016', '/events/XFMMA-X-Force-2-54225'), (130813, 208765, 'win', 'Oct / 25 / 2015', '/events/FK-MMA-Favela-Kombat-17-48731'), (130813, 205925, 'win', 'Sep / 12 / 2015', '/events/NCE-New-Corpore-Extreme-1-47673'), (130813, 88579, 'win', 'May / 23 / 2015', '/events/NTF-Niteroi-Top-Fight-5-46025'), (130813, 184875, 'loss', 'Nov / 22 / 2014', '/events/Coliseu-Fight-CFC-for-Rookies-42615'), (130813, 51487, 'loss', 'Aug / 04 / 2013', '/events/NTF-Niteroi-Top-Fight-2-31767'), (130813, 22219, 'loss', 'Jul / 28 / 2013', '/events/FA-Fatality-Arena-5-31629'), (130813, 122029, 'loss', 'Apr / 06 / 2013', '/events/SC-Serra-Combat-4-28999')]"
101404,Phil Hawes,130935,f,"[(130935, 25948, 'loss', 'Jul / 30 / 2016', '/events/WSOF-32-Moraes-vs-Hill-2-50201'), (130935, 26522, 'win', 'Jun / 17 / 2016', '/events/WSOF-31-Ivanov-vs-Copeland-50199'), (130935, 85295, 'win', 'Oct / 18 / 2014', '/events/GKO-2-Global-Knockout-2-43041'), (130935, 172711, 'win', 'Jun / 14 / 2014', '/events/Global-Knockout-The-Return-38523'), (130935, 75682, 'win', 'Feb / 21 / 2014', '/events/LFC-28-Legacy-Fighting-Championship-28-33573')]"
101452,Yuki Ohara,130983,f,"[(130983, 84074, 'loss', 'Jul / 30 / 2016', '/events/AOW-Art-of-War-18-53173'), (130983, 127819, 'win', 'Apr / 23 / 2016', '/events/Deep-Cage-Impact-2016-51345'), (130983, 59997, 'win', 'Aug / 29 / 2015', '/events/Deep-Cage-Impact-2015-46867'), (130983, 28155, 'win', 'May / 31 / 2015', '/events/Deep-Tokyo-Impact-2015-Wave-8-45645'), (130983, 85993, 'win', 'Dec / 21 / 2014', '/events/Deep-70-Impact-39113'), (130983, 41766, 'win', 'Jul / 21 / 2014', '/events/Deep-Cage-Impact-2014-37887'), (130983, 124723, 'loss', 'Mar / 22 / 2014', '/events/Deep-65-Impact-35097'), (130983, 139209, 'win', 'Dec / 22 / 2013', '/events/Deep-64-Impact-33279'), (130983, 30993, 'win', 'Oct / 14 / 2013', '/events/Deep-Tokyo-Impact-Wave-6-32671'), (130983, 73986, 'loss', 'May / 18 / 2013', '/events/Deep-Tokyo-Impact-Wave-5-29201')]"
101566,Daigoro Nagareyama,131097,f,"[(131097, 15242, 'win', 'Feb / 28 / 2016', '/events/Grachan-Brave-Grachan-22-Brave-Fight-12-49015'), (131097, 193677, 'win', 'Nov / 29 / 2015', '/events/Grachan-Grachan-20-48277'), (131097, 193423, 'win', 'Mar / 29 / 2015', '/events/Grachan-Grachan-16-43823'), (131097, 176779, 'loss', 'Sep / 07 / 2014', '/events/Brave-Brave-Fight-7-40393'), (131097, 57336, 'win', 'Mar / 30 / 2014', '/events/Pancrase-257-33385'), (131097, 148411, 'draw', 'Dec / 08 / 2013', '/events/Pancrase-255-26431'), (131097, 91405, 'loss', 'Nov / 04 / 2013', '/events/Brave-Brave-Fight-5-33277'), (131097, 159825, 'win', 'Sep / 01 / 2013', '/events/Pancrase-Bayside-Fight-31439')]"
101678,Denis Silva,131209,f,"[(131209, 116505, 'loss', 'Jul / 30 / 2016', '/events/JF-Jungle-Fight-89-53591'), (131209, 107229, 'win', 'Oct / 24 / 2015', '/events/JF-Jungle-Fight-82-47859'), (131209, 126665, 'win', 'Jun / 20 / 2015', '/events/JF-Jungle-Fight-78-46297'), (131209, 194767, 'win', 'Apr / 11 / 2015', '/events/Thunder-Fight-3-Gameth-vs-Para-44745'), (131209, 180357, 'win', 'Oct / 10 / 2014', '/events/TGF-The-Guardian-Fight-41535'), (131209, 109241, 'win', 'Aug / 09 / 2014', '/events/AFC-MMA-Americas-Fighting-Championship-2-39509'), (131209, 83596, 'win', 'May / 30 / 2014', '/events/MMASH-MMA-Super-Heroes-4-37729'), (131209, 118841, 'win', 'Apr / 06 / 2014', '/events/OFC-Omega-Fight-Championship-37041'), (131209, 84528, 'loss', 'Dec / 07 / 2013', '/events/JF-Jungle-Fight-62-34057'), (131209, 147387, 'win', 'Jun / 29 / 2013', '/events/PFMMA-Pro-Fight-MMA-Brasil-23-31537'), (131209, 131211, 'win', 'Apr / 18 / 2013', '/events/Pegada-Magazine-Desafio-Revista-Pegada-29263')]"
101766,Tetsuo Ishitsuna,131297,f,"[(131297, 5467, 'draw', 'Aug / 07 / 2016', '/events/Zst-Zst-53-Swat-155-53077'), (131297, 128003, 'win', 'Jun / 12 / 2016', '/events/Deep-Nagoya-Impact-Kobudo-Fight-52459'), (131297, 58645, 'loss', 'Dec / 23 / 2015', '/events/Pancrase-Osaka-49689'), (131297, 205901, 'draw', 'Sep / 12 / 2015', '/events/Grandslam-MMA-3-Way-of-the-Cage-47247'), (131297, 155051, 'draw', 'Jun / 21 / 2015', '/events/Shooto-Torao-15-Direction-of-the-Cage-44263'), (131297, 155029, 'win', 'Apr / 12 / 2015', '/events/Shooto-Torao-Nation-State-Force-03-43787'), (131297, 147405, 'win', 'Nov / 03 / 2014', '/events/Tribe-Tokyo-Fight-TTF-Challenge-03-40391'), (131297, 169535, 'win', 'Jul / 13 / 2014', '/events/Grandslam-MMA-1-Way-of-the-Cage-38233')]"
101818,Takahiro Ideta,131349,f,"[(131349, 165925, 'win', 'Jun / 12 / 2016', '/events/Shooto-Torao-18-52273'), (131349, 50633, 'loss', 'Feb / 28 / 2016', '/events/Grachan-Brave-Grachan-22-Brave-Fight-12-49015'), (131349, 84025, 'loss', 'Mar / 15 / 2015', '/events/Pancrase-265-43471'), (131349, 7164, 'loss', 'Dec / 21 / 2014', '/events/Heat-Heat-34-42083'), (131349, 24389, 'loss', 'Oct / 13 / 2014', '/events/Heat-Heat-in-Fukuoka-40573'), (131349, 157897, 'win', 'Aug / 25 / 2013', '/events/Gladiator-Gladiator-59-35479')]"
101852,Takuya Maeda,131383,f,"[(131383, 146873, 'loss', 'Aug / 07 / 2016', '/events/Zst-Zst-52-Swat-154-53075'), (131383, 85909, 'loss', 'Dec / 22 / 2013', '/events/Deep-Future-King-Tournament-2013-35469')]"
102296,Anthony Bynoe,131827,f,"[(131827, 181607, 'win', 'Aug / 13 / 2016', '/events/Brace-42-Catubig-vs-Mullarkey-51387'), (131827, 175949, 'win', 'Apr / 16 / 2016', '/events/Brace-39-Christakos-vs-Manderson-51383'), (131827, 147273, 'loss', 'Sep / 13 / 2014', '/events/MMADU-MMA-Down-Under-6-40943'), (131827, 126217, 'win', 'Sep / 21 / 2013', '/events/MMADU-MMA-Down-Under-4-39167'), (131827, 27509, 'win', 'Mar / 16 / 2013', '/events/MMADU-MMA-Down-Under-3-28437')]"
